,Date,Time,TargetTemp,ActualTemp,System,SystemAge,BuildingID
3014,6/15/2013,15:13:19,66,67,1,21,10
7310,6/21/2013,7:13:20,65,79,1,16,5
2283,6/4/2013,23:13:20,66,80,1,23,4
4473,6/4/2013,1:33:07,68,56,1,27,2
2779,6/20/2013,20:13:19,68,76,1,13,7
5487,6/28/2013,17:00:01,70,57,1,25,20
7329,6/10/2013,2:33:07,66,69,1,9,8
5497,6/8/2013,3:13:19,66,72,1,28,20
2300,6/21/2013,16:33:07,65,80,1,10,18
2302,6/23/2013,18:33:07,68,77,1,27,6
4171,6/2/2013,6:33:07,66,68,1,30,11
1344,6/25/2013,10:00:01,69,65,1,28,12
1293,6/4/2013,7:13:20,68,79,1,11,17
2307,6/28/2013,23:33:07,66,63,1,8,14
3826,6/17/2013,16:45:56,69,58,1,14,9
2652,6/13/2013,8:33:07,66,64,1,3,4
6361,6/2/2013,8:33:07,69,74,1,25,20
7358,6/9/2013,7:00:01,65,77,1,8,15
1959,6/10/2013,6:13:20,65,57,1,5,17
5360,6/21/2013,5:13:20,66,64,1,7,6
2328,6/19/2013,20:00:01,66,55,1,15,13
2330,6/21/2013,22:00:01,65,74,1,28,2
7137,6/28/2013,2:13:19,68,55,1,24,2
6440,6/21/2013,15:43:51,66,71,1,24,8
4996,6/17/2013,1:13:20,70,64,1,9,10
7129,6/20/2013,18:00:01,68,61,1,15,4
1888,6/29/2013,7:00:01,69,75,1,21,20
3058,6/29/2013,11:13:20,69,72,1,6,17
5397,6/28/2013,18:33:07,65,65,1,18,15
3733,6/14/2013,19:13:20,70,80,1,20,19
1435,6/26/2013,5:33:07,70,63,1,29,5
3890,6/21/2013,13:43:51,70,74,1,24,6
7126,6/17/2013,15:00:01,70,55,1,5,2
1196,6/27/2013,6:33:07,70,75,1,26,2
4219,6/20/2013,6:13:19,66,73,1,5,3
4221,6/22/2013,8:13:19,66,63,1,1,18
407,6/18/2013,23:13:19,70,59,1,16,10
5571,6/22/2013,5:33:07,67,76,1,8,20
1192,6/23/2013,2:33:07,67,65,1,12,12
7502,6/3/2013,7:13:19,67,63,1,12,3
1191,6/22/2013,1:33:07,66,69,1,23,9
4984,6/5/2013,13:43:51,70,57,1,16,16
6146,6/27/2013,9:00:01,65,63,1,20,14
6144,6/25/2013,7:00:01,65,58,1,21,18
2007,6/28/2013,6:00:01,65,77,1,21,15
2690,6/21/2013,22:45:56,68,76,1,29,3
7111,6/2/2013,0:00:01,66,61,1,14,18
7140,6/1/2013,5:13:19,65,61,1,23,8
6159,6/10/2013,22:00:01,70,75,1,5,15
4570,6/11/2013,2:13:20,66,77,1,21,15
3049,6/20/2013,2:13:20,68,62,1,11,18
3043,6/14/2013,20:43:51,67,62,1,9,6
2253,6/4/2013,17:43:51,66,80,1,8,17
2331,6/22/2013,23:00:01,66,77,1,2,8
641,6/12/2013,22:13:20,65,76,1,9,7
6414,6/25/2013,13:13:19,68,56,1,18,10
6213,6/4/2013,4:13:20,68,63,1,19,3
7426,6/17/2013,3:13:20,68,77,1,25,11
7187,6/18/2013,4:13:20,70,61,1,19,8
4457,6/18/2013,9:13:20,66,79,1,27,7
6415,6/26/2013,14:13:19,70,65,1,9,13
2249,6/30/2013,13:43:51,67,73,1,20,15
1905,6/16/2013,0:13:19,65,64,1,8,11
6219,6/10/2013,10:13:20,67,59,1,26,15
2248,6/29/2013,12:43:51,69,65,1,30,16
5416,6/17/2013,13:45:56,70,65,1,28,15
2685,6/16/2013,17:45:56,67,55,1,9,5
5557,6/8/2013,15:13:20,67,55,1,5,5
2339,6/30/2013,7:13:19,65,56,1,7,1
5559,6/10/2013,17:13:20,67,62,1,16,17
6171,6/22/2013,10:13:19,67,72,1,22,17
659,6/30/2013,16:33:07,68,69,1,27,12
7168,6/29/2013,9:43:51,65,71,1,28,12
4123,6/14/2013,6:43:51,69,78,1,8,1
437,6/18/2013,5:13:20,70,62,1,29,17
1225,6/26/2013,11:00:01,65,59,1,7,19
7151,6/12/2013,16:13:19,68,61,1,5,12
1990,6/11/2013,13:33:07,70,80,1,26,20
2046,6/7/2013,21:13:19,66,62,1,27,1
1538,6/9/2013,12:13:20,66,67,1,28,5
1948,6/29/2013,19:43:51,66,68,1,18,7
5788,6/29/2013,6:13:20,66,58,1,30,11
3115,6/26/2013,20:00:01,69,65,1,18,15
5280,6/1/2013,21:33:07,69,57,1,28,17
6655,6/26/2013,19:13:20,68,58,1,22,14
6858,6/19/2013,6:43:51,65,76,1,6,14
7856,6/27/2013,6:13:20,65,61,1,15,11
2864,6/15/2013,9:00:01,66,62,1,3,12
1634,6/15/2013,12:45:56,65,68,1,9,12
5867,6/18/2013,13:13:19,65,71,1,13,11
5689,6/20/2013,3:33:07,65,79,1,13,4
6853,6/14/2013,1:43:51,70,76,1,6,10
5244,6/25/2013,9:13:20,68,70,1,1,18
1758,6/19/2013,21:33:07,65,60,1,6,6
2532,6/13/2013,8:33:07,66,69,1,5,20
6846,6/7/2013,18:13:19,68,75,1,23,4
7868,6/9/2013,18:13:20,65,79,1,3,4
4023,6/4/2013,2:13:20,65,79,1,1,13
4692,6/13/2013,4:13:20,68,66,1,17,16
4763,6/24/2013,3:13:19,65,80,1,10,13
4699,6/20/2013,11:13:20,69,64,1,23,2
1643,6/24/2013,2:00:01,70,74,1,1,1
4301,6/12/2013,16:33:07,68,77,1,10,7
2070,6/1/2013,21:43:51,67,70,1,26,17
3584,6/15/2013,14:43:51,67,63,1,19,8
25,6/26/2013,1:13:19,67,71,1,6,8
4349,6/30/2013,16:45:56,69,62,1,20,4
5684,6/15/2013,22:13:20,68,59,1,23,6
3144,6/25/2013,1:43:51,69,60,1,7,7
2469,6/10/2013,17:13:19,66,64,1,15,19
153,6/4/2013,9:13:19,65,56,1,6,5
5740,6/11/2013,6:13:19,67,79,1,11,6
1718,6/9/2013,5:13:20,70,60,1,19,14
5787,6/28/2013,5:13:20,65,58,1,23,13
2565,6/16/2013,17:00:01,66,78,1,26,8
6876,6/7/2013,0:13:20,65,73,1,8,8
7820,6/21/2013,18:13:19,66,67,1,19,1
6637,6/8/2013,1:13:20,70,59,1,24,17
33,6/4/2013,9:13:19,67,69,1,5,9
5687,6/18/2013,1:33:07,66,68,1,24,3
3984,6/25/2013,11:13:19,70,63,1,15,17
7831,6/2/2013,5:43:51,66,57,1,28,2
3446,6/27/2013,20:13:19,68,71,1,5,2
5878,6/29/2013,0:43:51,70,58,1,26,2
5282,6/3/2013,23:33:07,66,60,1,15,18
139,6/20/2013,19:00:01,66,67,1,10,15
941,6/12/2013,10:13:19,66,58,1,9,18
5778,6/19/2013,20:43:51,67,76,1,22,12
6843,6/4/2013,15:13:19,67,60,1,30,13
5640,6/1/2013,2:43:51,69,77,1,19,18
1677,6/28/2013,12:13:19,70,55,1,19,14
4532,6/3/2013,12:13:19,69,73,1,16,12
1678,6/29/2013,13:13:19,68,63,1,25,11
5262,6/13/2013,3:33:07,65,57,1,19,2
2502,6/13/2013,2:13:20,70,74,1,6,16
6707,6/18/2013,23:00:01,67,76,1,6,2
4723,6/14/2013,11:33:07,65,79,1,23,10
5722,6/23/2013,12:00:01,67,71,1,7,13
80,6/21/2013,8:13:20,69,55,1,8,14
1773,6/4/2013,12:00:01,66,74,1,1,7
919,6/20/2013,12:00:01,67,66,1,6,17
1688,6/9/2013,23:13:19,68,55,1,24,3
4794,6/25/2013,10:43:51,70,79,1,18,1
4793,6/24/2013,9:43:51,66,70,1,9,1
4714,6/5/2013,2:33:07,69,56,1,13,20
4722,6/13/2013,10:33:07,67,60,1,14,19
2568,6/19/2013,20:00:01,65,80,1,6,14
5271,6/22/2013,12:33:07,68,75,1,25,16
65,6/6/2013,17:43:51,67,79,1,9,10
6792,6/13/2013,12:33:07,70,76,1,4,5
3477,6/28/2013,3:13:20,67,56,1,19,7
935,6/6/2013,4:13:19,69,78,1,12,13
2117,6/18/2013,20:33:07,66,76,1,28,14
4330,6/11/2013,21:45:56,69,71,1,16,10
47,6/18/2013,23:13:19,66,75,1,13,12
2074,6/5/2013,1:13:20,69,71,1,9,11
5853,6/4/2013,23:00:01,69,59,1,1,17
4041,6/22/2013,20:13:20,68,70,1,28,12
107,6/18/2013,11:33:07,69,64,1,9,13
6671,6/12/2013,11:33:07,65,66,1,27,19
5700,6/1/2013,14:33:07,67,70,1,7,13
3123,6/4/2013,4:13:19,65,64,1,11,14
2527,6/8/2013,3:33:07,68,59,1,25,15
5701,6/2/2013,15:33:07,70,58,1,16,6
1779,6/10/2013,18:00:01,66,71,1,24,7
1666,6/17/2013,1:13:19,67,61,1,8,13
4707,6/28/2013,19:13:20,68,72,1,21,19
4369,6/20/2013,12:45:56,67,58,1,3,15
6675,6/16/2013,15:33:07,70,66,1,5,19
1668,6/19/2013,3:13:19,69,72,1,4,7
1764,6/25/2013,3:00:01,69,56,1,7,2
4533,6/4/2013,13:13:19,70,64,1,29,7
2859,6/10/2013,4:00:01,68,62,1,22,13
2891,6/12/2013,12:13:19,66,77,1,12,11
6679,6/20/2013,19:33:07,68,63,1,22,20
4701,6/22/2013,13:13:20,66,75,1,8,4
4843,6/14/2013,11:33:07,67,62,1,4,4
2515,6/26/2013,15:13:20,65,76,1,24,2
1748,6/9/2013,11:33:07,66,62,1,14,8
6877,6/8/2013,1:13:20,70,59,1,27,11
7757,6/18/2013,3:33:07,65,66,1,24,11
5657,6/18/2013,19:43:51,65,71,1,6,11
4865,6/6/2013,9:45:56,68,78,1,12,14
4016,6/27/2013,19:43:51,70,72,1,7,17
7760,6/21/2013,6:33:07,69,77,1,10,14
192,6/13/2013,0:13:20,65,77,1,9,9
2870,6/21/2013,15:00:01,70,60,1,19,16
1590,6/1/2013,16:45:56,68,69,1,6,1
7991,6/12/2013,21:13:20,68,74,1,30,13
2590,6/11/2013,18:13:19,68,58,1,29,4
1738,6/29/2013,1:33:07,65,66,1,26,10
3412,6/23/2013,10:00:01,65,64,1,8,16
1571,6/12/2013,21:33:07,70,62,1,10,17
7768,6/29/2013,14:33:07,69,76,1,18,10
3140,6/21/2013,21:13:19,69,60,1,8,18
1824,6/25/2013,15:43:51,66,69,1,25,5
3616,6/17/2013,22:13:20,66,76,1,14,20
6599,6/30/2013,11:13:19,69,66,1,5,20
1819,6/20/2013,10:43:51,69,61,1,7,20
5298,6/19/2013,15:00:01,66,75,1,20,10
2595,6/16/2013,23:13:19,67,59,1,9,20
1747,6/8/2013,10:33:07,67,73,1,9,2
6592,6/23/2013,4:13:19,66,63,1,7,12
3100,6/11/2013,5:00:01,67,58,1,12,7
5767,6/8/2013,9:43:51,66,76,1,10,2
209,6/30/2013,17:13:20,68,57,1,7,8
982,6/23/2013,3:13:20,70,74,1,4,1
3607,6/8/2013,13:13:20,65,73,1,30,14
1088,6/9/2013,13:45:56,65,63,1,22,7
2929,6/20/2013,2:13:20,70,72,1,21,11
5958,6/19/2013,8:45:56,66,70,1,13,13
204,6/25/2013,12:13:20,69,62,1,3,1
203,6/24/2013,11:13:20,69,60,1,12,5
202,6/23/2013,10:13:20,65,61,1,1,12
3137,6/18/2013,18:13:19,67,77,1,21,7
5656,6/17/2013,18:43:51,65,68,1,26,6
4861,6/2/2013,5:45:56,69,78,1,2,11
6902,6/3/2013,2:33:07,67,69,1,15,12
2924,6/15/2013,21:43:51,67,61,1,20,4
4888,6/29/2013,8:45:56,68,69,1,18,10
4062,6/13/2013,17:33:07,66,56,1,22,9
1070,6/21/2013,19:45:56,68,69,1,10,9
1095,6/16/2013,1:00:01,65,55,1,5,11
5334,6/25/2013,3:43:51,65,72,1,5,7
2431,6/2/2013,3:00:01,67,75,1,9,16
2746,6/17/2013,11:00:01,69,57,1,28,8
1810,6/11/2013,1:43:51,67,57,1,28,16
860,6/21/2013,1:13:20,65,71,1,27,11
3107,6/18/2013,12:00:01,70,75,1,1,14
3964,6/5/2013,15:00:01,65,78,1,15,12
863,6/24/2013,4:13:20,70,71,1,2,11
2463,6/4/2013,11:13:19,69,75,1,17,20
4554,6/25/2013,10:43:51,70,75,1,10,11
2465,6/6/2013,13:13:19,70,69,1,14,8
6628,6/29/2013,16:43:51,69,64,1,5,18
162,6/13/2013,18:13:19,69,77,1,18,4
5671,6/2/2013,9:13:20,70,60,1,11,19
6760,6/11/2013,4:13:20,67,59,1,23,6
6755,6/6/2013,23:43:51,66,68,1,30,14
964,6/5/2013,9:43:51,66,55,1,18,13
6896,6/27/2013,20:13:20,70,66,1,22,3
7723,6/14/2013,17:43:51,68,73,1,22,4
3427,6/8/2013,1:13:19,70,60,1,3,1
6605,6/6/2013,17:13:19,67,59,1,16,13
1600,6/11/2013,2:45:56,69,57,1,17,9
6609,6/10/2013,21:13:19,65,60,1,15,9
5337,6/28/2013,6:43:51,66,57,1,24,5
7977,6/28/2013,7:13:20,70,80,1,24,20
4275,6/16/2013,14:13:20,68,75,1,7,2
4740,6/1/2013,4:00:01,69,73,1,8,7
957,6/28/2013,2:43:51,65,57,1,26,20
5335,6/26/2013,4:43:51,68,74,1,3,19
827,6/18/2013,16:13:19,65,56,1,19,4
5294,6/15/2013,11:00:01,70,64,2,10,4
998,6/9/2013,19:13:20,66,73,2,27,8
3020,6/21/2013,21:13:19,70,74,2,6,14
5418,6/19/2013,15:45:56,66,65,2,7,19
2252,6/3/2013,16:43:51,69,74,2,29,6
5419,6/20/2013,16:45:56,65,73,2,23,17
4591,6/2/2013,23:13:20,65,70,2,29,6
1002,6/13/2013,23:13:20,69,75,2,3,11
571,6/2/2013,0:13:19,70,74,2,27,7
5297,6/18/2013,14:00:01,68,61,2,26,20
4520,6/21/2013,0:13:19,65,71,2,13,18
4164,6/25/2013,23:13:20,66,75,2,13,13
6787,6/8/2013,7:33:07,65,64,2,16,15
1982,6/3/2013,5:33:07,65,62,2,12,19
975,6/16/2013,20:43:51,66,77,2,23,16
4015,6/26/2013,18:43:51,66,75,2,23,20
6330,6/1/2013,1:13:20,68,69,2,21,15
7248,6/19/2013,17:00:01,66,65,2,1,6
2105,6/6/2013,8:33:07,68,70,2,4,16
5443,6/14/2013,16:45:56,67,66,2,20,16
5453,6/24/2013,2:45:56,69,63,2,15,3
2272,6/23/2013,12:13:20,66,80,2,9,6
2548,6/29/2013,0:00:01,70,60,2,7,15
1289,6/30/2013,3:13:20,67,68,2,30,3
3261,6/22/2013,22:45:56,65,76,2,23,3
5454,6/25/2013,3:45:56,70,66,2,11,11
3025,6/26/2013,2:43:51,68,75,2,8,4
3031,6/2/2013,8:43:51,68,70,2,2,20
5429,6/30/2013,2:45:56,69,67,2,12,12
2276,6/27/2013,16:13:20,69,59,2,4,18
5074,6/5/2013,7:13:19,69,78,2,7,20
6730,6/11/2013,22:13:19,70,68,2,21,6
1266,6/7/2013,4:43:51,70,76,2,21,14
6768,6/19/2013,12:13:20,68,65,2,30,3
6725,6/6/2013,17:13:19,69,57,2,28,1
1257,6/28/2013,19:13:19,66,75,2,22,13
2116,6/17/2013,19:33:07,67,60,2,23,5
995,6/6/2013,16:13:20,68,60,2,5,15
6727,6/8/2013,19:13:19,69,66,2,22,9
3271,6/2/2013,8:45:56,69,73,2,27,6
1304,6/15/2013,18:13:20,68,69,2,14,12
2279,6/30/2013,19:13:20,68,64,2,21,6
990,6/1/2013,11:13:20,68,62,2,14,19
5277,6/28/2013,18:33:07,70,64,2,12,15
617,6/18/2013,22:43:51,68,78,2,4,6
5083,6/14/2013,16:13:19,70,72,2,8,18
7264,6/5/2013,9:13:19,65,80,2,4,16
4605,6/16/2013,13:33:07,66,80,2,29,15
6757,6/8/2013,1:13:20,69,69,2,2,14
4519,6/20/2013,23:00:01,67,55,2,26,1
2170,6/11/2013,1:45:56,66,61,2,21,20
4027,6/8/2013,6:13:20,67,73,2,18,15
2059,6/20/2013,10:43:51,65,79,2,13,1
3213,6/4/2013,22:33:07,66,69,2,4,19
3927,6/28/2013,2:33:07,65,74,2,4,16
5156,6/27/2013,17:33:07,66,70,2,4,8
1143,6/4/2013,1:43:51,70,64,2,6,8
6897,6/28/2013,21:13:20,69,58,2,8,12
1145,6/6/2013,3:43:51,68,73,2,10,5
6517,6/8/2013,20:45:56,69,61,2,20,10
855,6/16/2013,20:43:51,69,77,2,3,11
5151,6/22/2013,12:33:07,65,77,2,30,4
3217,6/8/2013,2:45:56,65,55,2,14,3
6626,6/27/2013,14:43:51,68,68,2,8,16
3110,6/21/2013,15:00:01,65,72,2,30,11
3916,6/17/2013,15:13:20,69,62,2,14,20
1149,6/10/2013,7:43:51,66,70,2,1,16
6507,6/28/2013,10:45:56,67,79,2,11,3
5226,6/7/2013,15:43:51,69,80,2,13,13
1052,6/3/2013,1:45:56,69,61,2,12,10
2025,6/16/2013,0:13:19,69,74,2,22,12
6635,6/6/2013,23:43:51,66,78,2,9,2
3074,6/15/2013,3:33:07,68,60,2,11,15
4565,6/6/2013,21:43:51,70,60,2,7,18
6527,6/18/2013,6:45:56,67,57,2,2,16
1131,6/22/2013,13:13:19,65,69,2,9,10
1074,6/25/2013,23:45:56,69,69,2,27,8
818,6/9/2013,7:13:19,67,65,2,7,18
2755,6/26/2013,20:00:01,69,70,2,5,16
6954,6/25/2013,6:13:19,68,77,2,10,13
5200,6/11/2013,13:13:19,67,75,2,22,18
3195,6/16/2013,4:33:07,67,69,2,17,20
2713,6/14/2013,21:45:56,70,76,2,22,2
831,6/22/2013,20:13:19,69,77,2,15,3
6963,6/4/2013,15:13:19,67,78,2,16,3
6557,6/18/2013,12:45:56,68,76,2,9,2
5188,6/29/2013,1:13:19,68,73,2,30,15
4505,6/6/2013,9:00:01,69,80,2,11,19
2179,6/20/2013,10:45:56,66,74,2,19,4
5347,6/8/2013,16:43:51,67,70,2,7,20
2182,6/23/2013,13:45:56,69,73,2,4,6
5344,6/5/2013,13:43:51,65,63,2,27,5
3950,6/21/2013,1:00:01,68,66,2,26,20
3201,6/22/2013,10:33:07,67,74,2,22,19
3185,6/6/2013,18:13:20,66,62,2,5,13
6918,6/19/2013,18:33:07,66,55,2,28,19
2189,6/30/2013,1:00:01,69,57,2,27,19
6913,6/14/2013,13:33:07,65,56,2,20,8
777,6/28/2013,14:33:07,70,78,2,4,2
6588,6/19/2013,0:13:19,70,56,2,20,14
2732,6/3/2013,16:45:56,70,73,2,3,11
4048,6/29/2013,3:33:07,66,56,2,28,20
7056,6/7/2013,12:45:56,68,78,2,24,19
905,6/6/2013,22:33:07,68,65,2,22,7
684,6/25/2013,17:00:01,68,74,2,22,18
2769,6/10/2013,10:13:19,68,55,2,1,5
911,6/12/2013,4:00:01,67,55,2,6,11
2770,6/11/2013,11:13:19,66,60,2,3,2
6433,6/14/2013,8:43:51,65,60,2,8,4
2776,6/17/2013,17:13:19,66,74,2,23,11
6423,6/4/2013,22:13:19,69,62,2,19,18
1013,6/24/2013,10:33:07,67,76,2,13,8
3155,6/6/2013,12:43:51,66,77,2,16,12
6420,6/1/2013,19:13:19,67,65,2,13,16
6712,6/23/2013,4:13:19,67,74,2,24,9
2126,6/27/2013,5:45:56,70,71,2,7,3
3047,6/18/2013,0:13:20,68,79,2,25,8
5410,6/11/2013,7:45:56,69,57,2,2,5
1234,6/5/2013,20:00:01,69,74,2,10,7
6796,6/17/2013,16:33:07,69,60,2,18,6
1988,6/9/2013,11:33:07,69,55,2,7,6
7183,6/14/2013,0:13:20,65,63,2,28,13
924,6/25/2013,17:00:01,70,75,2,14,4
648,6/19/2013,5:33:07,66,57,2,21,5
3891,6/22/2013,14:43:51,67,76,2,12,2
690,6/1/2013,23:00:01,67,56,2,13,2
1195,6/26/2013,5:33:07,68,69,2,25,7
7117,6/8/2013,6:00:01,68,63,2,14,9
6639,6/10/2013,3:13:20,70,55,2,18,20
7064,6/15/2013,20:45:56,67,69,2,10,15
