",Date,Time,TargetTemp,ActualTemp,System,SystemAge,BuildingID\n"
"1126,6/17/2013,8:13:19,70,73,1,29,18\n"
"7646,6/27/2013,7:45:56,69,80,1,3,2\n"
"4254,6/25/2013,17:43:51,68,60,1,13,12\n"
"7031,6/12/2013,11:33:07,70,78,1,13,2\n"
"3377,6/18/2013,23:13:20,67,70,1,28,19\n"
"5609,6/30/2013,19:00:01,67,72,1,20,5\n"
"5157,6/28/2013,18:33:07,65,76,1,22,6\n"
"5159,6/30/2013,20:33:07,66,58,1,6,20\n"
"1141,6/2/2013,23:13:19,68,65,1,6,8\n"
"1139,6/30/2013,21:13:19,65,62,1,24,12\n"
"763,6/14/2013,0:33:07,69,55,1,23,14\n"
"3935,6/6/2013,10:33:07,67,61,1,2,12\n"
"4929,6/10/2013,6:00:01,65,58,1,6,9\n"
"7524,6/25/2013,5:43:51,65,79,1,7,14\n"
"765,6/16/2013,2:33:07,67,76,1,2,2\n"
"4563,6/4/2013,19:43:51,65,77,1,19,19\n"
"2404,6/5/2013,0:33:07,66,80,1,5,18\n"
"2759,6/30/2013,0:13:19,65,66,1,2,11\n"
"6530,6/21/2013,9:45:56,66,56,1,17,19\n"
"4668,6/19/2013,4:43:51,67,80,1,16,12\n"
"6026,6/27/2013,9:00:01,70,66,1,18,14\n"
"3386,6/27/2013,8:33:07,68,64,1,16,14\n"
"6024,6/25/2013,7:00:01,67,77,1,25,9\n"
"7680,6/1/2013,22:00:01,65,73,1,11,7\n"
"6304,6/5/2013,23:13:19,65,75,1,18,7\n"
"6020,6/21/2013,3:00:01,65,75,1,6,19\n"
"780,6/1/2013,17:33:07,69,69,1,3,3\n"
"2612,6/3/2013,16:43:51,66,62,1,20,6\n"
"6142,6/23/2013,5:00:01,68,61,1,15,5\n"
"6467,6/18/2013,18:13:20,70,79,1,24,13\n"
"4498,6/29/2013,2:00:01,69,64,1,23,16\n"
"5439,6/10/2013,12:45:56,68,72,1,7,6\n"
"1971,6/22/2013,18:13:20,68,68,1,15,8\n"
"7228,6/29/2013,21:33:07,66,71,1,3,8\n"
"4180,6/11/2013,15:33:07,67,57,1,27,20\n"
"2269,6/20/2013,9:13:20,69,59,1,8,13\n"
"2268,6/19/2013,8:13:20,68,58,1,24,9\n"
"612,6/13/2013,17:43:51,65,77,1,14,14\n"
"4139,6/30/2013,22:43:51,65,55,1,20,5\n"
"4469,6/30/2013,21:13:20,68,77,1,11,10\n"
"1264,6/5/2013,2:43:51,70,79,1,15,5\n"
"5515,6/26/2013,21:13:19,68,64,1,9,12\n"
"2322,6/13/2013,14:00:01,69,67,1,13,15\n"
"6383,6/24/2013,6:00:01,66,55,1,27,12\n"
"1262,6/3/2013,0:43:51,65,59,1,27,12\n"
"1261,6/2/2013,23:13:19,70,72,1,1,13\n"
"6388,6/29/2013,11:00:01,68,74,1,2,15\n"
"2097,6/28/2013,0:33:07,68,79,1,15,3\n"
"7398,6/19/2013,23:13:19,68,66,1,21,19\n"
"1980,6/1/2013,3:33:07,67,62,1,7,1\n"
"625,6/26/2013,6:13:20,69,69,1,13,8\n"
"6229,6/20/2013,20:13:20,69,79,1,13,20\n"
"1255,6/26/2013,17:13:19,70,77,1,7,6\n"
"2261,6/12/2013,1:13:20,69,58,1,11,20\n"
"5530,6/11/2013,12:43:51,69,77,1,20,1\n"
"4461,6/22/2013,13:13:20,68,65,1,3,14\n"
"511,6/2/2013,7:45:56,67,66,1,8,4\n"
"2999,6/30/2013,0:13:19,65,62,1,7,20\n"
"597,6/28/2013,2:43:51,67,71,1,2,15\n"
"1351,6/2/2013,17:00:01,68,63,1,29,1\n"
"4162,6/23/2013,21:13:20,65,74,1,29,1\n"
"565,6/26/2013,18:00:01,67,56,1,28,12\n"
"6294,6/25/2013,13:13:19,66,66,1,28,18\n"
"7299,6/10/2013,20:43:51,68,63,1,1,14\n"
"552,6/13/2013,5:00:01,69,63,1,15,16\n"
"3815,6/6/2013,5:45:56,70,66,1,7,14\n"
"6289,6/20/2013,8:13:19,67,78,1,3,1\n"
"6319,6/20/2013,14:43:51,70,59,1,8,1\n"
"3014,6/15/2013,15:13:19,66,67,1,21,10\n"
"7310,6/21/2013,7:13:20,65,79,1,16,5\n"
"2283,6/4/2013,23:13:20,66,80,1,23,4\n"
"4473,6/4/2013,1:33:07,68,56,1,27,2\n"
"2779,6/20/2013,20:13:19,68,76,1,13,7\n"
"5487,6/28/2013,17:00:01,70,57,1,25,20\n"
"7329,6/10/2013,2:33:07,66,69,1,9,8\n"
"5497,6/8/2013,3:13:19,66,72,1,28,20\n"
"2300,6/21/2013,16:33:07,65,80,1,10,18\n"
"2302,6/23/2013,18:33:07,68,77,1,27,6\n"
"4171,6/2/2013,6:33:07,66,68,1,30,11\n"
"1344,6/25/2013,10:00:01,69,65,1,28,12\n"
"1293,6/4/2013,7:13:20,68,79,1,11,17\n"
"2307,6/28/2013,23:33:07,66,63,1,8,14\n"
"3826,6/17/2013,16:45:56,69,58,1,14,9\n"
"2652,6/13/2013,8:33:07,66,64,1,3,4\n"
"6361,6/2/2013,8:33:07,69,74,1,25,20\n"
"7358,6/9/2013,7:00:01,65,77,1,8,15\n"
"1959,6/10/2013,6:13:20,65,57,1,5,17\n"
"5360,6/21/2013,5:13:20,66,64,1,7,6\n"
"2328,6/19/2013,20:00:01,66,55,1,15,13\n"
"2330,6/21/2013,22:00:01,65,74,1,28,2\n"
"7137,6/28/2013,2:13:19,68,55,1,24,2\n"
"6440,6/21/2013,15:43:51,66,71,1,24,8\n"
"4996,6/17/2013,1:13:20,70,64,1,9,10\n"
"7129,6/20/2013,18:00:01,68,61,1,15,4\n"
"1888,6/29/2013,7:00:01,69,75,1,21,20\n"
"3058,6/29/2013,11:13:20,69,72,1,6,17\n"
"5397,6/28/2013,18:33:07,65,65,1,18,15\n"
"3733,6/14/2013,19:13:20,70,80,1,20,19\n"
"1435,6/26/2013,5:33:07,70,63,1,29,5\n"
"3890,6/21/2013,13:43:51,70,74,1,24,6\n"
"7126,6/17/2013,15:00:01,70,55,1,5,2\n"
"1196,6/27/2013,6:33:07,70,75,1,26,2\n"
"4219,6/20/2013,6:13:19,66,73,1,5,3\n"
"4221,6/22/2013,8:13:19,66,63,1,1,18\n"
"407,6/18/2013,23:13:19,70,59,1,16,10\n"
"5571,6/22/2013,5:33:07,67,76,1,8,20\n"
"1192,6/23/2013,2:33:07,67,65,1,12,12\n"
"7502,6/3/2013,7:13:19,67,63,1,12,3\n"
"1191,6/22/2013,1:33:07,66,69,1,23,9\n"
"4984,6/5/2013,13:43:51,70,57,1,16,16\n"
"6146,6/27/2013,9:00:01,65,63,1,20,14\n"
"6144,6/25/2013,7:00:01,65,58,1,21,18\n"
"2007,6/28/2013,6:00:01,65,77,1,21,15\n"
"2690,6/21/2013,22:45:56,68,76,1,29,3\n"
"7111,6/2/2013,0:00:01,66,61,1,14,18\n"
"7140,6/1/2013,5:13:19,65,61,1,23,8\n"
"6159,6/10/2013,22:00:01,70,75,1,5,15\n"
"4570,6/11/2013,2:13:20,66,77,1,21,15\n"
"3049,6/20/2013,2:13:20,68,62,1,11,18\n"
"3043,6/14/2013,20:43:51,67,62,1,9,6\n"
"2253,6/4/2013,17:43:51,66,80,1,8,17\n"
"2331,6/22/2013,23:00:01,66,77,1,2,8\n"
"641,6/12/2013,22:13:20,65,76,1,9,7\n"
"6414,6/25/2013,13:13:19,68,56,1,18,10\n"
"6213,6/4/2013,4:13:20,68,63,1,19,3\n"
"7426,6/17/2013,3:13:20,68,77,1,25,11\n"
"7187,6/18/2013,4:13:20,70,61,1,19,8\n"
"4457,6/18/2013,9:13:20,66,79,1,27,7\n"
"6415,6/26/2013,14:13:19,70,65,1,9,13\n"
"2249,6/30/2013,13:43:51,67,73,1,20,15\n"
"1905,6/16/2013,0:13:19,65,64,1,8,11\n"
"6219,6/10/2013,10:13:20,67,59,1,26,15\n"
"2248,6/29/2013,12:43:51,69,65,1,30,16\n"
"5416,6/17/2013,13:45:56,70,65,1,28,15\n"
"2685,6/16/2013,17:45:56,67,55,1,9,5\n"
"5557,6/8/2013,15:13:20,67,55,1,5,5\n"
"2339,6/30/2013,7:13:19,65,56,1,7,1\n"
"5559,6/10/2013,17:13:20,67,62,1,16,17\n"
"6171,6/22/2013,10:13:19,67,72,1,22,17\n"
"659,6/30/2013,16:33:07,68,69,1,27,12\n"
"7168,6/29/2013,9:43:51,65,71,1,28,12\n"
"4123,6/14/2013,6:43:51,69,78,1,8,1\n"
"437,6/18/2013,5:13:20,70,62,1,29,17\n"
"1225,6/26/2013,11:00:01,65,59,1,7,19\n"
"7151,6/12/2013,16:13:19,68,61,1,5,12\n"
"1990,6/11/2013,13:33:07,70,80,1,26,20\n"
"2046,6/7/2013,21:13:19,66,62,1,27,1\n"
"1538,6/9/2013,12:13:20,66,67,1,28,5\n"
"1948,6/29/2013,19:43:51,66,68,1,18,7\n"
"5788,6/29/2013,6:13:20,66,58,1,30,11\n"
"3115,6/26/2013,20:00:01,69,65,1,18,15\n"
"5280,6/1/2013,21:33:07,69,57,1,28,17\n"
"6655,6/26/2013,19:13:20,68,58,1,22,14\n"
"6858,6/19/2013,6:43:51,65,76,1,6,14\n"
"7856,6/27/2013,6:13:20,65,61,1,15,11\n"
"2864,6/15/2013,9:00:01,66,62,1,3,12\n"
"1634,6/15/2013,12:45:56,65,68,1,9,12\n"
"5867,6/18/2013,13:13:19,65,71,1,13,11\n"
"5689,6/20/2013,3:33:07,65,79,1,13,4\n"
"6853,6/14/2013,1:43:51,70,76,1,6,10\n"
"5244,6/25/2013,9:13:20,68,70,1,1,18\n"
"1758,6/19/2013,21:33:07,65,60,1,6,6\n"
"2532,6/13/2013,8:33:07,66,69,1,5,20\n"
"6846,6/7/2013,18:13:19,68,75,1,23,4\n"
"7868,6/9/2013,18:13:20,65,79,1,3,4\n"
"4023,6/4/2013,2:13:20,65,79,1,1,13\n"
"4692,6/13/2013,4:13:20,68,66,1,17,16\n"
"4763,6/24/2013,3:13:19,65,80,1,10,13\n"
"4699,6/20/2013,11:13:20,69,64,1,23,2\n"
"1643,6/24/2013,2:00:01,70,74,1,1,1\n"
"4301,6/12/2013,16:33:07,68,77,1,10,7\n"
"2070,6/1/2013,21:43:51,67,70,1,26,17\n"
"3584,6/15/2013,14:43:51,67,63,1,19,8\n"
"25,6/26/2013,1:13:19,67,71,1,6,8\n"
"4349,6/30/2013,16:45:56,69,62,1,20,4\n"
"5684,6/15/2013,22:13:20,68,59,1,23,6\n"
"3144,6/25/2013,1:43:51,69,60,1,7,7\n"
"2469,6/10/2013,17:13:19,66,64,1,15,19\n"
"153,6/4/2013,9:13:19,65,56,1,6,5\n"
"5740,6/11/2013,6:13:19,67,79,1,11,6\n"
"1718,6/9/2013,5:13:20,70,60,1,19,14\n"
"5787,6/28/2013,5:13:20,65,58,1,23,13\n"
"2565,6/16/2013,17:00:01,66,78,1,26,8\n"
"6876,6/7/2013,0:13:20,65,73,1,8,8\n"
"7820,6/21/2013,18:13:19,66,67,1,19,1\n"
"6637,6/8/2013,1:13:20,70,59,1,24,17\n"
"33,6/4/2013,9:13:19,67,69,1,5,9\n"
"5687,6/18/2013,1:33:07,66,68,1,24,3\n"
"3984,6/25/2013,11:13:19,70,63,1,15,17\n"
"7831,6/2/2013,5:43:51,66,57,1,28,2\n"
"3446,6/27/2013,20:13:19,68,71,1,5,2\n"
"5878,6/29/2013,0:43:51,70,58,1,26,2\n"
"5282,6/3/2013,23:33:07,66,60,1,15,18\n"
"139,6/20/2013,19:00:01,66,67,1,10,15\n"
"941,6/12/2013,10:13:19,66,58,1,9,18\n"
"5778,6/19/2013,20:43:51,67,76,1,22,12\n"
"6843,6/4/2013,15:13:19,67,60,1,30,13\n"
"5640,6/1/2013,2:43:51,69,77,1,19,18\n"
"1677,6/28/2013,12:13:19,70,55,1,19,14\n"
"4532,6/3/2013,12:13:19,69,73,1,16,12\n"
"1678,6/29/2013,13:13:19,68,63,1,25,11\n"
"5262,6/13/2013,3:33:07,65,57,1,19,2\n"
"2502,6/13/2013,2:13:20,70,74,1,6,16\n"
"6707,6/18/2013,23:00:01,67,76,1,6,2\n"
"4723,6/14/2013,11:33:07,65,79,1,23,10\n"
"5722,6/23/2013,12:00:01,67,71,1,7,13\n"
"80,6/21/2013,8:13:20,69,55,1,8,14\n"
"1773,6/4/2013,12:00:01,66,74,1,1,7\n"
"919,6/20/2013,12:00:01,67,66,1,6,17\n"
"1688,6/9/2013,23:13:19,68,55,1,24,3\n"
"4794,6/25/2013,10:43:51,70,79,1,18,1\n"
"4793,6/24/2013,9:43:51,66,70,1,9,1\n"
"4714,6/5/2013,2:33:07,69,56,1,13,20\n"
"4722,6/13/2013,10:33:07,67,60,1,14,19\n"
"2568,6/19/2013,20:00:01,65,80,1,6,14\n"
"5271,6/22/2013,12:33:07,68,75,1,25,16\n"
"65,6/6/2013,17:43:51,67,79,1,9,10\n"
"6792,6/13/2013,12:33:07,70,76,1,4,5\n"
"3477,6/28/2013,3:13:20,67,56,1,19,7\n"
"935,6/6/2013,4:13:19,69,78,1,12,13\n"
"2117,6/18/2013,20:33:07,66,76,1,28,14\n"
"4330,6/11/2013,21:45:56,69,71,1,16,10\n"
"47,6/18/2013,23:13:19,66,75,1,13,12\n"
"2074,6/5/2013,1:13:20,69,71,1,9,11\n"
"5853,6/4/2013,23:00:01,69,59,1,1,17\n"
"4041,6/22/2013,20:13:20,68,70,1,28,12\n"
"107,6/18/2013,11:33:07,69,64,1,9,13\n"
"6671,6/12/2013,11:33:07,65,66,1,27,19\n"
"5700,6/1/2013,14:33:07,67,70,1,7,13\n"
"3123,6/4/2013,4:13:19,65,64,1,11,14\n"
"2527,6/8/2013,3:33:07,68,59,1,25,15\n"
"5701,6/2/2013,15:33:07,70,58,1,16,6\n"
"1779,6/10/2013,18:00:01,66,71,1,24,7\n"
"1666,6/17/2013,1:13:19,67,61,1,8,13\n"
"4707,6/28/2013,19:13:20,68,72,1,21,19\n"
"4369,6/20/2013,12:45:56,67,58,1,3,15\n"
"6675,6/16/2013,15:33:07,70,66,1,5,19\n"
"1668,6/19/2013,3:13:19,69,72,1,4,7\n"
"1764,6/25/2013,3:00:01,69,56,1,7,2\n"
"4533,6/4/2013,13:13:19,70,64,1,29,7\n"
"2859,6/10/2013,4:00:01,68,62,1,22,13\n"
"2891,6/12/2013,12:13:19,66,77,1,12,11\n"
"6679,6/20/2013,19:33:07,68,63,1,22,20\n"
"4701,6/22/2013,13:13:20,66,75,1,8,4\n"
"4843,6/14/2013,11:33:07,67,62,1,4,4\n"
"2515,6/26/2013,15:13:20,65,76,1,24,2\n"
"1748,6/9/2013,11:33:07,66,62,1,14,8\n"
"6877,6/8/2013,1:13:20,70,59,1,27,11\n"
"7757,6/18/2013,3:33:07,65,66,1,24,11\n"
"5657,6/18/2013,19:43:51,65,71,1,6,11\n"
"4865,6/6/2013,9:45:56,68,78,1,12,14\n"
"4016,6/27/2013,19:43:51,70,72,1,7,17\n"
"7760,6/21/2013,6:33:07,69,77,1,10,14\n"
"192,6/13/2013,0:13:20,65,77,1,9,9\n"
"2870,6/21/2013,15:00:01,70,60,1,19,16\n"
"1590,6/1/2013,16:45:56,68,69,1,6,1\n"
"7991,6/12/2013,21:13:20,68,74,1,30,13\n"
"2590,6/11/2013,18:13:19,68,58,1,29,4\n"
"1738,6/29/2013,1:33:07,65,66,1,26,10\n"
"3412,6/23/2013,10:00:01,65,64,1,8,16\n"
"1571,6/12/2013,21:33:07,70,62,1,10,17\n"
"7768,6/29/2013,14:33:07,69,76,1,18,10\n"
"3140,6/21/2013,21:13:19,69,60,1,8,18\n"
"1824,6/25/2013,15:43:51,66,69,1,25,5\n"
"3616,6/17/2013,22:13:20,66,76,1,14,20\n"
"6599,6/30/2013,11:13:19,69,66,1,5,20\n"
"1819,6/20/2013,10:43:51,69,61,1,7,20\n"
"5298,6/19/2013,15:00:01,66,75,1,20,10\n"
"2595,6/16/2013,23:13:19,67,59,1,9,20\n"
"1747,6/8/2013,10:33:07,67,73,1,9,2\n"
"6592,6/23/2013,4:13:19,66,63,1,7,12\n"
"3100,6/11/2013,5:00:01,67,58,1,12,7\n"
"5767,6/8/2013,9:43:51,66,76,1,10,2\n"
"209,6/30/2013,17:13:20,68,57,1,7,8\n"
"982,6/23/2013,3:13:20,70,74,1,4,1\n"
"3607,6/8/2013,13:13:20,65,73,1,30,14\n"
"1088,6/9/2013,13:45:56,65,63,1,22,7\n"
"2929,6/20/2013,2:13:20,70,72,1,21,11\n"
"5958,6/19/2013,8:45:56,66,70,1,13,13\n"
"204,6/25/2013,12:13:20,69,62,1,3,1\n"
"203,6/24/2013,11:13:20,69,60,1,12,5\n"
"202,6/23/2013,10:13:20,65,61,1,1,12\n"
"3137,6/18/2013,18:13:19,67,77,1,21,7\n"
"5656,6/17/2013,18:43:51,65,68,1,26,6\n"
"4861,6/2/2013,5:45:56,69,78,1,2,11\n"
"6902,6/3/2013,2:33:07,67,69,1,15,12\n"
"2924,6/15/2013,21:43:51,67,61,1,20,4\n"
"4888,6/29/2013,8:45:56,68,69,1,18,10\n"
"4062,6/13/2013,17:33:07,66,56,1,22,9\n"
"1070,6/21/2013,19:45:56,68,69,1,10,9\n"
"1095,6/16/2013,1:00:01,65,55,1,5,11\n"
"5334,6/25/2013,3:43:51,65,72,1,5,7\n"
"2431,6/2/2013,3:00:01,67,75,1,9,16\n"
"2746,6/17/2013,11:00:01,69,57,1,28,8\n"
"1810,6/11/2013,1:43:51,67,57,1,28,16\n"
"860,6/21/2013,1:13:20,65,71,1,27,11\n"
"3107,6/18/2013,12:00:01,70,75,1,1,14\n"
"3964,6/5/2013,15:00:01,65,78,1,15,12\n"
"863,6/24/2013,4:13:20,70,71,1,2,11\n"
"2463,6/4/2013,11:13:19,69,75,1,17,20\n"
"4554,6/25/2013,10:43:51,70,75,1,10,11\n"
"2465,6/6/2013,13:13:19,70,69,1,14,8\n"
"6628,6/29/2013,16:43:51,69,64,1,5,18\n"
"162,6/13/2013,18:13:19,69,77,1,18,4\n"
"5671,6/2/2013,9:13:20,70,60,1,11,19\n"
"6760,6/11/2013,4:13:20,67,59,1,23,6\n"
"6755,6/6/2013,23:43:51,66,68,1,30,14\n"
"964,6/5/2013,9:43:51,66,55,1,18,13\n"
"6896,6/27/2013,20:13:20,70,66,1,22,3\n"
"7723,6/14/2013,17:43:51,68,73,1,22,4\n"
"3427,6/8/2013,1:13:19,70,60,1,3,1\n"
"6605,6/6/2013,17:13:19,67,59,1,16,13\n"
"1600,6/11/2013,2:45:56,69,57,1,17,9\n"
"6609,6/10/2013,21:13:19,65,60,1,15,9\n"
"5337,6/28/2013,6:43:51,66,57,1,24,5\n"
"7977,6/28/2013,7:13:20,70,80,1,24,20\n"
"4275,6/16/2013,14:13:20,68,75,1,7,2\n"
"4740,6/1/2013,4:00:01,69,73,1,8,7\n"
"957,6/28/2013,2:43:51,65,57,1,26,20\n"
"5335,6/26/2013,4:43:51,68,74,1,3,19\n"
"827,6/18/2013,16:13:19,65,56,1,19,4\n"
"5294,6/15/2013,11:00:01,70,64,2,10,4\n"
"998,6/9/2013,19:13:20,66,73,2,27,8\n"
"3020,6/21/2013,21:13:19,70,74,2,6,14\n"
"5418,6/19/2013,15:45:56,66,65,2,7,19\n"
"2252,6/3/2013,16:43:51,69,74,2,29,6\n"
"5419,6/20/2013,16:45:56,65,73,2,23,17\n"
"4591,6/2/2013,23:13:20,65,70,2,29,6\n"
"1002,6/13/2013,23:13:20,69,75,2,3,11\n"
"571,6/2/2013,0:13:19,70,74,2,27,7\n"
"5297,6/18/2013,14:00:01,68,61,2,26,20\n"
"4520,6/21/2013,0:13:19,65,71,2,13,18\n"
"4164,6/25/2013,23:13:20,66,75,2,13,13\n"
"6787,6/8/2013,7:33:07,65,64,2,16,15\n"
"1982,6/3/2013,5:33:07,65,62,2,12,19\n"
"975,6/16/2013,20:43:51,66,77,2,23,16\n"
"4015,6/26/2013,18:43:51,66,75,2,23,20\n"
"6330,6/1/2013,1:13:20,68,69,2,21,15\n"
"7248,6/19/2013,17:00:01,66,65,2,1,6\n"
"2105,6/6/2013,8:33:07,68,70,2,4,16\n"
"5443,6/14/2013,16:45:56,67,66,2,20,16\n"
"5453,6/24/2013,2:45:56,69,63,2,15,3\n"
"2272,6/23/2013,12:13:20,66,80,2,9,6\n"
"2548,6/29/2013,0:00:01,70,60,2,7,15\n"
"1289,6/30/2013,3:13:20,67,68,2,30,3\n"
"3261,6/22/2013,22:45:56,65,76,2,23,3\n"
"5454,6/25/2013,3:45:56,70,66,2,11,11\n"
"3025,6/26/2013,2:43:51,68,75,2,8,4\n"
"3031,6/2/2013,8:43:51,68,70,2,2,20\n"
"5429,6/30/2013,2:45:56,69,67,2,12,12\n"
"2276,6/27/2013,16:13:20,69,59,2,4,18\n"
"5074,6/5/2013,7:13:19,69,78,2,7,20\n"
"6730,6/11/2013,22:13:19,70,68,2,21,6\n"
"1266,6/7/2013,4:43:51,70,76,2,21,14\n"
"6768,6/19/2013,12:13:20,68,65,2,30,3\n"
"6725,6/6/2013,17:13:19,69,57,2,28,1\n"
"1257,6/28/2013,19:13:19,66,75,2,22,13\n"
"2116,6/17/2013,19:33:07,67,60,2,23,5\n"
"995,6/6/2013,16:13:20,68,60,2,5,15\n"
"6727,6/8/2013,19:13:19,69,66,2,22,9\n"
"3271,6/2/2013,8:45:56,69,73,2,27,6\n"
"1304,6/15/2013,18:13:20,68,69,2,14,12\n"
"2279,6/30/2013,19:13:20,68,64,2,21,6\n"
"990,6/1/2013,11:13:20,68,62,2,14,19\n"
"5277,6/28/2013,18:33:07,70,64,2,12,15\n"
"617,6/18/2013,22:43:51,68,78,2,4,6\n"
"5083,6/14/2013,16:13:19,70,72,2,8,18\n"
"7264,6/5/2013,9:13:19,65,80,2,4,16\n"
"4605,6/16/2013,13:33:07,66,80,2,29,15\n"
"6757,6/8/2013,1:13:20,69,69,2,2,14\n"
"4519,6/20/2013,23:00:01,67,55,2,26,1\n"
"2170,6/11/2013,1:45:56,66,61,2,21,20\n"
"4027,6/8/2013,6:13:20,67,73,2,18,15\n"
"2059,6/20/2013,10:43:51,65,79,2,13,1\n"
"3213,6/4/2013,22:33:07,66,69,2,4,19\n"
"3927,6/28/2013,2:33:07,65,74,2,4,16\n"
"5156,6/27/2013,17:33:07,66,70,2,4,8\n"
"1143,6/4/2013,1:43:51,70,64,2,6,8\n"
